school_emis_code,school_name,school_latitude,school_longitude
35210763,GGPS MEHNDI PUR,31.32487301,74.42444494
35210372,GPS MANAWALA LHR CANTT,31.47064306,74.42022884
35220619,GHS MC JAHANGIR ABAD MISRI SHAH LAHORE,31.58606338,74.33592106
35210649,GGPS BHATTA,31.58051435,74.51919163
35210092,GGHS PILOT WAHDAT COLONY,31.51742951,74.30725152
35220269,GPS JADAH,31.63313162,74.31308851
35220449,GGPS WARA KUMHARAN,31.26201163,74.15172522
35210216,GPS GHANIA KA CANTT-II,31.46253785,74.60926658
35220543,GGHS CDG JIA MUSA SHAHDARA,31.6190408,74.28120953
35210314,GPS GURUMANGET,31.51502294,74.35738628
35220422,GGPS NAWAN QILA,31.30812659,74.05962059
35210795,GGES CDG JUNIOR MODEL SINGH PURA,31.58389163,74.36670947
35210659,GGPS CHAPPA,31.5637223,74.52980387
35220060,GGHS ASIFA NEW MODEL SAID MITHA,31.5849721,74.31028652
35220267,GES ISLAHI MODEL AZIZ COLONY YOUSAF PARK SHAHDARA,31.6221533,74.2709748
35220230,GPS KHALID ABAD,31.2984806,74.0694708
35220102,GES PAJIAN,31.303101,74.2247953
35210469,GGPS MOCHI PURA,31.46966,74.3179105
35210345,GPS ATTARI SAROBA,31.42647475,74.36408878
35220196,GPS MEHDI PUR NAWAZISH ABAD,31.43046035,74.19792895
35210020,GHS MUSLIM LAHORE CANTT,31.54458675,74.37681997
35210287,GPS CUSTOM COLONY WAHGA,31.60253311,74.55740724
35210019,GHS JUNIOR MODEL MODEL TOWN LAHORE,31.48383044,74.33125092
35210869,GPS MC MAKHDOOM ABAD CHUNGI AMERSIDHU,31.44268703,74.345273
35210880,GHS CDG AMER SIDHU,31.46889011,74.34584557
35210634,GGES GOHAWA,31.49327726,74.42637789
35210204,GPS THEH PURA,31.55577931,74.60015913
35210841,GES CDG MODEL NARGIS BLOCK IQBAL TOWN,31.5171364,74.2822467
35210431,GPS KASHMIR PATTI,31.34461739,74.3624287
35210121,GES ORDINANCE DEPOT,31.54280127,74.38278328
35210225,GPS LEELA PUR,31.57412147,74.56226279
35220037,GHS PUBLIC MODEL NAIN SUKH SHAHDARA,31.60159584,74.24658028
