License No,Store Name,Store Address,Town Name,Location
147A092010,Unique Pharmacy,Civic Centre Mustafa Town Wahdat Road Lahore,ALLAMA IQBAL TOWN,"31.492167274274916,74.27444524596434"
160A092010,Seven Seas Pharmacy,10-A Block-G M.A Johar Town Lahore,ALLAMA IQBAL TOWN,"31.475257455115184,74.28017940000282"
189ACANT912,M/S UNIQUE PHARMACY,S 164/6 COMM AREA PH 1 DHA,CANTT,"31.482946256974156,74.3946886598216"
10392003911,"M/S Ahmad Medicos,","24 Commerical Zone GulbergIII, Lahore.",GULBERG TOWN,"31.580624,74.308628"
107R079,A.Z Enterprises,"ground floor shop No 4, Ali Hajvery Medicine market Circular road Lohari Lahore",DATA GANJ BUKHSH TOWN,"31.5759836,74.3128905"
13662003911,"Shafiq Madical Store,","Daras Baray Main,Lahore",GULBERG TOWN,"31.572093528382858,74.37716888190437"
18142003911,"M/S United Medical Store,",1425-Dehli Road Saddar Bazar Lahore Cantt.,CANTT,"31.52771379700535,74.3791770849195"
383206911,"Mian Medical and General Store,","211 Ravi Park Ravi Road, Lahore",RAVI TOWN,"31.593804450105402,74.30513279586168"
272604,E.C.S,9-Subway Inside Lohari Gate Lohari,RAVI TOWN,"31.575532,74.317194"
5492002,"M/s, Ejaz Medical Store,","24-A, Elahi Town, China Road Bhagat Pura New Shad Bagh, Lahore.",SHALAMAR TOWN,"31.59750383724338,74.34493699919214"
86BWT102013,Afzal Medical &amp; Super General Store,,WAHGA TOWN,"31.593160521407977,74.42129155709635"
28702004911,"M/s, Khan Medical and General Store,","22-Sultanpura, Lahore.",SHALAMAR TOWN,"31.582312,74.363403"
268704911,Javaid Pharmacy,,WAHGA TOWN,"31.601167562017963,74.400797767998"
8402003911,"M/s Shalimar Medicose,","Sultan Mehmood road, Shalimar Town, Lahore",WAHGA TOWN,"31.58628458396192,74.38636124750934"
15702003911,M/S Al Noor Chemist,Riaz Ahmed Road Shalimar town Lahore,WAHGA TOWN,"31.589817,74.393457"
33022005911,Hafiz Medical Store,,WAHGA TOWN,"31.4284124,74.3579249"
85BWT102013,Mian Arif Medical &amp; General Store,,WAHGA TOWN,"31.595051988455598,74.48551631282798"
230904,Chuadhary Medical Store,,WAHGA TOWN,"31.58453524441191,74.4096440085393"
45190791011,Umer Pharmacy,,WAHGA TOWN,"31.586662,74.398483"
94BWT102013,Eman Medicose,,WAHGA TOWN,"31.601807248095525,74.40140334109024"
19272003911,Fahad Medical Store,,WAHGA TOWN,"31.604031820421305,74.50026201716948"
119BST102012,Pasha Medix,,WAHGA TOWN,"31.602552990073892,74.3955920333383"
104AST92012,Javaid Sons Pharmacy &amp; General Store,,WAHGA TOWN,"31.58660245082778,74.3862538105535"
32AWT92011,Al-Meraj Pharma Links,,WAHGA TOWN,"31.58418213867921,74.4080255355667"
30450191011,Atiq Pharmacy,,WAHGA TOWN,"31.589503226125206,74.38781830186177"
23BST0910,Al-Shifa Medical &amp; General Store,,WAHGA TOWN,"31.586724639219884,74.39042406737612"
92AWT092013,Wealth Pharmacy,,WAHGA TOWN,"31.456995445407482,74.44267245141677"
214BCantt2012,Malik Medical Store,,WAHGA TOWN,"31.436590994179472,74.47122682660016"
171AST092013,Itifaq Medicose,ideal Home near Round About Sukh Nehar backside of Pakistan Mint Baghbanpura Lahore,SHALAMAR TOWN,"31.58110720318256,74.38760495220981"
168AST092013,Hafiz Pharmacy,02-* Rafique Park Main sher shah Road Shafbagh lahore,SHALAMAR TOWN,"31.59467385909474,74.35325086181216"
159AST092013,Naeem Usman Pharmacy,Shop No. 2-3 Sher Shah Road Aslam colony shad Bagh Lahore,SHALAMAR TOWN,"31.598033893880853,74.34634671376276"
160AST092013,Umar Medical and General Store,Old Dhobi Ghat Chah Miran Lahore,SHALAMAR TOWN,"31.588615417783558,74.35154786210605"
161AST092013,Goraya Chemist &amp; Departmental Store,Aswami Nagar Chah Miran Lahore,SHALAMAR TOWN,"31.5810136736942,74.34808345850558"
153AST092013,Kashmir Medicine Company,"Near Govt. Kot Khawaja saeed Hospital, Shadbagh Lahore",SHALAMAR TOWN,"31.59454792879614,74.3530640317972"
163BST102013,Syed Abid Hussain Medical Store,"Plot no. 15/125, opposite Ahata Chabbi Makhanpura Chah Miran Lahore",SHALAMAR TOWN,"31.59782854518172,74.3451654007351"
172AST092013,Green plus Pharmacy,"Plot no. 275, Goal bagh, Shadbagh Lahore",SHALAMAR TOWN,"31.59878712963634,74.3385511305665"
170AST092013,Waseem Medical Store,Shop No. 05 Mohammad Dic colony near police station shalimar Lhr.,SHALAMAR TOWN,"31.588143469243455,74.37363712255448"
166AST092013,Al-Falah Medicose,Shop no. 01 wassanpura Scheme no. 02 Shadbagh near Govt Kot Khawaja Saeed Hospital Lahore,SHALAMAR TOWN,"31.594681925204192,74.35324601137445"
158AST092013,Arshad Pharmacy,Opposite Kot Khawaja saeed Hospital Lahore,SHALAMAR TOWN,"31.503555127973318,74.26080458486072"
01A092008,Medisign Pharmacy,288/A/3 Khyber Block Commercial Zone Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.51308089886268,74.28138497355789"
69A092010,Pharma Land,107-Saqib Main Road Gulshan Ravi Lahore,SAMNABAD TOWN,"31.55000666360085,74.2828369309972"
71A092010,New Amir Medical Store,11-Bokheri Market Link Wahdat Road Lahore,SAMNABAD TOWN,"31.574767954836783,74.30486498172627"
87B102010,ShifaMedical Store,"Chowk Khuda Bukhsh Near Chowk Nounarian No.1, Multan Road Lahore",SAMNABAD TOWN,"31.5625131,74.3267489"
75A092010,Clinix + Pharmacy Franchise Of (Clinix + Pvt Ltd),Behind Central Pharmacy 153/E 2-A Multan Road Near Shah Noor Studio Lahore,SAMNABAD TOWN,"31.52141575204642,74.28123012986248"
60A092009,Geo Pharmacy,8J Fateh Sher Road New Mozang Samanabad Lahore,SAMNABAD TOWN,"31.538257747055653,74.30582128754423"
70B102010,Amtul Pharmaceuticals,Ground Floor 251-Sikandar Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.520081035799816,74.32087723273007"
80B102010,Hajvery Medical Store,"Shop No.1,H.No. 165-B,St No.10, Hameed Park Near Shalimar Colony Bund Road Lahore",SAMNABAD TOWN,"31.545017750525822,74.29295432629941"
09B102008,Ghani Medical Store,Ahmed Munir Shaheed Road Icchra Lahore,SAMNABAD TOWN,"31.57478782629658,74.30487443189183"
67B102010,Eisha Medical Store,Nizam Block Pind Bhekhewal Near Office PPC Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.509965143153632,74.29176739658196"
73A092010,Wahdat Branch Pharmacy (Franchise Of Clinix + Pvt Ltd),16-A-1-Q Civic Centre Main Wahdat Road Aab Para Stop Lahore,SAMNABAD TOWN,"31.51907,74.320801"
07B102008,Qureshi Medical Store,Islam Road Pakki Thatti Samanabad Lahore,SAMNABAD TOWN,"31.526970455130968,74.29599795473945"
79A092010,Raheem Pharmacy,647-Neelam Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.57493055467325,74.30475026192158"
82A092010,Stanley Pharmaceuticals Pvt Ltd,212-Rustam Park Near Samanabad More Multan Road Lahore,SAMNABAD TOWN,"31.550057551515206,74.27820357456785"
35A092009,Decent Pharmacy,664-Kashmir Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.516832222275283,74.28621269453875"
74A092010,Centrral Pharmacy Franchise Of (Clinix + Pvt Ltd),153/E 2-A Multan Road Near Shah Noor Studio Lahore,SAMNABAD TOWN,"31.521441067586768,74.28131927814968"
72B102010,I.C.U Pharma,206-Hunza Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.516182796895084,74.29479887897482"
04A092008,Noble Pharmacy,Faiz Street Rehman Pura Icchra Lahore,SAMNABAD TOWN,"31.523490163804873,74.31738608626313"
02A092008,Maan Gee Distributor,20-A St No.5-I Block B Rehmanpura Lahore,SAMNABAD TOWN,"31.524187709908947,74.32114464813948"
37A092009,Servaid Pharmacy Pvt Ltd,56/3 Karim Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.510348931679644,74.28738456306783"
126B102010,Kashif Traders,"Shop No.1, Ground Floor Al-Saeed Apartment Fazal Elahi Road Rehmanpura Lahore",SAMNABAD TOWN,"31.52323761649007,74.32393590497004"
95B102010,Waleed Medical Store,"346-D,G-Block Jinnah Market Gulshan Ravi Lahore",SAMNABAD TOWN,"31.547351128224275,74.27528402823442"
102A102010,Vital Pharma,2-C Opp Qadri Ground Rehmanpura Lahore,SAMNABAD TOWN,"31.53263537562017,74.30360297486398"
130A092010,Health Pharmacy,"Plot No.20,Block –C Gulshan Ravi Lahore",SAMNABAD TOWN,"31.5493344,74.2834568"
113A092010,Sadality Pharma,"Malik Plaza Shop No.2,Near More Samanabad 47-Multan Road Lahore",SAMNABAD TOWN,"31.543155379068157,74.29539906393876"
121A092010,Noble Pak Traders,108-Kamran Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.57477639244472,74.30487802571547"
112B102010,Hafiz Medicose,Property No 11/A St No.161 Al-Fateh Road Icchra Lahore,SAMNABAD TOWN,"31.520186135422822,74.32093985253161"
108B102010,Health &amp; Care Medical Store,"Shop No.1,St No.2,Amin Street Chowk Ashiq Abad Shah Kamal Icchra Lahore",SAMNABAD TOWN,"31.52017085189132,74.32088822220462"
92B102010,Hussain Medical Store,Shop No 2 Jamia Masjid Bakar Mandi Bund Road Lahore,SAMNABAD TOWN,"31.537773072708394,74.26991767449516"
134A092010,Remedi Pharmacy,N-163/B Ghazali Road Samanabad Lahore,SAMNABAD TOWN,"31.574428376203432,74.30568370281524"
111A092010,Farasat &amp; Company,24-A Ilyas Colony Old Muslim Town Lahore,SAMNABAD TOWN,"31.520206897892656,74.32081295458228"
96A092010,Servichem Pharma,59-Nizam Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.51039219635205,74.2880984994208"
91A092010,Aab Para Medicose,14-Main Wahdat Road Lahore,SAMNABAD TOWN,"31.537337091957692,74.30564097597997"
109A092010,SRS Pharma,84-C New Muslim Town Lahore,SAMNABAD TOWN,"31.520073975880607,74.3207343576156"
135A092011,Hi-Moon Pharma,692-Raza Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.514416475698003,74.29675992650643"
94A092010,New Azeem Pharmacy (Medical Store),453-Ravi Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.51388347260901,74.2819047787323"
129A092010,Sharjil Pharmacy,94-H Chanab Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.510535177044957,74.2882860297857"
128B102010,Farooq Medical Store,"Shop No.1,Opp Hafiz Wali Market Al-Mumtaz Road Pakki Thatti Near Al-Mumtaz Cinema Samanabad LHR",SAMNABAD TOWN,"31.512759913340066,74.29889141529242"
172A092011,New Mahmood Pharmacy,Main 16-Wahdat Road Lahore,SAMNABAD TOWN,"31.520223968929695,74.323102816375"
170A092011,Fine Drugs,95-Tipu Sultan Road Rasool Park Icchra Lahore,SAMNABAD TOWN,"31.520232308512426,74.32319308077437"
148A092011,Saad Pharmacy,212-C Moon Market Gulshan Ravi Lahore,SAMNABAD TOWN,"31.55074583412862,74.28292982246907"
158A092011,Awan Pharmacy,160-Shakir Road Icchra Lahore,SAMNABAD TOWN,"31.535233462562683,74.31250460212847"
151A092011,Life Pharmacy Store,1st Round About Samanabad Near HBL Lahore,SAMNABAD TOWN,"31.54441351854417,74.29436437855603"
157A102011,Nazir Medical Store,4/8Civic Centre Moon Market Gulshan-e-Ravi Lahore,SAMNABAD TOWN,"31.5485771628501,74.26536418255606"
159A102011,Suhail Medical &amp; General Store,"Miraj Din Market Shop No.5, Main Kalyar Road Rustam Park More Samanabad Lahore",SAMNABAD TOWN,"31.544320958574847,74.29169359208483"
163B102011,Muhammadi Medical Store,187-N Block Samanabad Lahore,SAMNABAD TOWN,"31.53124505217348,74.30328177777164"
166A092011,Roshan Pharmacy,60-Foot Road Nagina Colony Sherakot Lahore,SAMNABAD TOWN,"31.542658831839102,74.27350457662627"
161B102011,Shahjev Distributors,"Office No.5,63- Jahanzaib Block Allama Iqbal Town Lahore",SAMNABAD TOWN,"31.514529575452034,74.29673666887379"
145A092011,Hamza Pharmacy &amp; General Store,Nizam Street Mohallah Rawan SXXIII-12-S-2/1 Shah Kamal Road Icchra Lahore,SAMNABAD TOWN,"31.523212465519745,74.32383159754664"
156A092011,Doctor Pharmacy,345-Hunza Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.514110178615287,74.29316863517177"
165B102011,Mentor Pharma,Lower Ground Floor Abrar Business Centre 25-Main Wahdat Road Lahore,SAMNABAD TOWN,"31.52007129691707,74.32074853022436"
142B102011,United Medical Store,Kamboh Colony Ariyan Salan Arcade Lahore,SAMNABAD TOWN,"31.5258098,74.3048041"
140A092011,M.A Pharmacy,273-A Khyber Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.52491137573797,74.30131906929996"
164A092011,Al-Huda Pharmacy,820-N Poonch Road Samanabad Lahore,SAMNABAD TOWN,"31.53353836243013,74.29860203914403"
153B102011,Ali Hajvery Medicose,"Shop No.3, Ahmed Munir Shaheed Road Icchra Lahore",SAMNABAD TOWN,"31.57425646047434,74.30579714205292"
147B102011,Azhar Medical Store,Sutlaj Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.564531551033905,74.32433210585698"
136A092011,Medicine Shop Pharmacy,6-Olympia Street Scheme More Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.52554466325894,74.28529113836143"
173A092011,Umer Pharmacy &amp; General Store,"Shop No.1,St No.17,New Shalimar Road Gulshan-e-Ravi Lahore",SAMNABAD TOWN,"31.544290418529137,74.29172018115675"
167A092011,Pharmacy Hussain Hospital,105-Multan Road Lahore,SAMNABAD TOWN,"31.536185306912916,74.29022080780831"
169A092011,Patient Welfare Society Inmol Pharmacy,Inside Inmol Hospital D-Block New Muslim Town Lahore,SAMNABAD TOWN,"31.508511057808025,74.30559851023045"
196A092011,Servichem Pharma,510-Raza Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.51448628882486,74.29672684584837"
195B102011,Amjad Medical Store,"Shop No.1,Labha Bazaar Bund Road Lahore",SAMNABAD TOWN,"31.537209510534346,74.27172103394288"
211A092012,Zee Pharmacy,140-A Main Road Gulshan Ravi Lahore,SAMNABAD TOWN,"31.4756895,74.3423705"
191A092011,Medimax Pharmacy System,Chowk Nonarian Khuda Bukhsh Road Lahore,SAMNABAD TOWN,"31.541074367245177,74.28581653840902"
205B102012,Zain Medical Store,Inside Huma Hospital 21-Rasool Park Shama Road Icchra Lahore,SAMNABAD TOWN,"31.5397471,74.3130918"
188A092011,Bin Jalal Pharma Distributors,98-Al-Naseer Market (1st &amp; 2nd Floor)Muqaddas Park Gulshan-e- Ravi Lahore,SAMNABAD TOWN,"31.549662644608645,74.28629660205821"
214B102012,Ali-Lasani Medical Store,St No.154 Chah Jamu Wala Bazaar New Samanabad Lahore,SAMNABAD TOWN,"31.534413972584176,74.30440269576597"
179A092011,Yousaf Medicose,H.No.157-S-39 Maqbool Road Icchra Lahore,SAMNABAD TOWN,"31.5742747,74.3059955"
180B102011,Khurram Medicose,64-A Pir Ghazi Road Icchra Lahore,SAMNABAD TOWN,"31.532193216591754,74.31341010121298"
201B102012,Mujahid Traders,462-Jahanzaib Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.515253619978388,74.29454520872112"
193A092011,Makkah Medical Store,Neelam Block Al-Hamd Colony Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.523117737779124,74.30207446881987"
177A092011,Platinum Pharmaceuticals Pvt Ltd,355-Sutlaj Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.4757026,74.3423063"
185B102011,Hussain Medical Complex,7-Moon Evenue Old Muslim Town Lahore,SAMNABAD TOWN,"31.520102535855763,74.32069710139483"
216A092012,Ali-Ahmed Pharmacy,"H.No.121,St No.16,Alamgir Park New Shalimar Road Lahore",SAMNABAD TOWN,"31.54962725401256,74.28634090261338"
192B102011,Muzammil Medical Store,"H.No.5,St No. 121,Islam Road Pakki Thatti Samanabad Lahore",SAMNABAD TOWN,"31.564097998410286,74.32527607715744"
189A092011,Aziz Pharma,46-Gohar Centre Wahdat Road Lahore,SAMNABAD TOWN,"31.520121803227052,74.32072808680932"
206B102012,Kalssom Medical Store,50-Gulshan Rehman Rehman Pura Icchra Lahore,SAMNABAD TOWN,"31.526453819111573,74.31701458174942"
207A092012,Karachi Care Medicose,Abu Bakar Saddique Colony Bund Road Lahore,SAMNABAD TOWN,"31.54835639691855,74.26402339444935"
235A092012,Hadi Health Care,Office No.4&amp;5 1030 Nizam Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.515750988078683,74.29518956434816"
251A092012,Publix Pharmacy,"Shop No.2, Makki Centre Pakistani Chowk Zaildar Road Icchra Lahore",SAMNABAD TOWN,"31.5232449594241,74.32373458572731"
238B102012,Bhatti Medical &amp; General Store,"Shop No.2, Khuda Bukhsh Road Nonarian Chowk Nawan Kot Lahore",SAMNABAD TOWN,"31.541065824704393,74.28592466510113"
248B102012,Iqbal Medical Store,341-G Sultan Ahmed Road Rehmanpura Lahore,SAMNABAD TOWN,"31.523238213242767,74.32388152857155"
244B102012,Hussain Medical Store,"Shop No.2,Jamia Masjid Bakkar Mandi Bund Road Lahore",SAMNABAD TOWN,"31.53763949398376,74.27000804210353"
230B102012,Mushtaq Medical Store,"Shop No.1, Mughal Plaza Wahdat Road Lahore",SAMNABAD TOWN,"31.5750871526648,74.30481050112293"
246A092012,Gulshan-e-Ravi Pharmacy (Fanchise Of Clinix Pvt Ltd),33-Urdu Nagar Main Boulevard Gulshan-e-Ravi Lahore,SAMNABAD TOWN,"31.546128401155332,74.2913721277964"
234A092012,C-Max Pharmacy,"Shop No.2,65-Jahanzaib Block Tariq Plaza Allama Iqbal Town Lahore",SAMNABAD TOWN,"31.524871889550603,74.28936913234402"
231A092012,Pakistan Pharma,Ground Floor 346-Hunza Block Allama Iqbal TownLahore,SAMNABAD TOWN,"31.514539387509707,74.29674189570447"
223A092012,Family Pharmacy,"Shop No.3,247-A Ayubia Market New Muslim Town Lahore",SAMNABAD TOWN,"31.5625055,74.3267367"
239A092012,Tagline Marketing &amp; Distributors,54-Jinnah Colony Samanabad Lahore,SAMNABAD TOWN,"31.533482746965493,74.29872952928828"
218A092012,Shaaf Traders,71-Rachna Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.5146154527564,74.29669129655984"
237B102012,Ayesha Medical Store,Inside Ayesha Hospital Nawan Kot Bund Road Lahore,SAMNABAD TOWN,"31.53262222433277,74.28563049539684"
252A102012,Asad Medical Store,"Shop No.1,62- Bastami Road Samanabad Lahore",SAMNABAD TOWN,"31.535283555042408,74.29122665608311"
245A092012,Health Pro Pharmaceuticals,56-C New Muslim Town Lahore,SAMNABAD TOWN,"31.520037130855194,74.32076772498606"
228A092012,Shah Noor Pharmacy,"Shop No.11,Old Market Wahdat Colony Lahore",SAMNABAD TOWN,"31.52006256482716,74.3207212297867"
243B102012,New S.M Traders,"Flat No.6,Floor III City Tower Samanabad Lahore",SAMNABAD TOWN,"31.543637142323796,74.29442351943604"
222A092012,Health 1st Pharma,24-Siddique Park New Mozang Lahore,SAMNABAD TOWN,"31.523297520354152,74.3237628441806"
249B102012,Qadria Medical Store,53-A Rehmanpura Lahore,SAMNABAD TOWN,"31.520039945739775,74.32067579420901"
241B102012,Azeem Medical Store,Shah Kamal Road Komboh Colony Samanabad Lahore,SAMNABAD TOWN,"31.52667410472272,74.30503701305082"
250A092012,Nawaz Pharmacy,"Shop No.1,Hajvery Masjid M.Din Road Babu Sabu Bund Road Lahore",SAMNABAD TOWN,"31.549607757867452,74.28622467679402"
280B102013,Al-Raheem Medical Store,"Shop No.2,Butt Plaza Qadir Pura Bund Road Lahore",SAMNABAD TOWN,"31.537389820138642,74.27087645833107"
279A092013,Al-Faisal Medical &amp; General Store,Al-Khyam Road Near Jamia Masjid Rasool Behind Shezan Factory Bund Road Lahore,SAMNABAD TOWN,"31.537426295559968,74.2707892092369"
270A092013,Green Plus Pharmacy,241-A Ayubia Market New Muslim Town Lahore,SAMNABAD TOWN,"31.512272680183575,74.3135829982786"
287A092013,S.G.P Marketing Services,14-Zeenat Block Allama Iqbal Town Lahore,SAMNABAD TOWN,"31.514530695177026,74.29674924457166"
286A092013,Arham Pharma Care,Moula Bukhsh Street 168-S-3 New Samanabad Lahore,SAMNABAD TOWN,"31.53266205101163,74.30928249869423"
260A092012,Jay Sons Pharmacy,"Flat No.3,2nd Floor Khawaja Arcade Main Wahdat Road Lahore",SAMNABAD TOWN,"31.520000556469792,74.32074242530054"
283B102013,Madina Traders,Ground Floor 2-A Zubair Street Islamia Park Poonch Road Lahore,SAMNABAD TOWN,"31.53346412353252,74.29874714637265"
274B102013,Al-Noor Medical Store,"Shop No.1,Al-Mumtaz Cinema Pakki Thatti Samanabad Lahore",SAMNABAD TOWN,"31.53517019518722,74.29117534010341"
277B102013,Waseem Medicine,05-Fateh Sher Road New Mozang Lahore,SAMNABAD TOWN,"31.54104865351008,74.30747844631868"
284A092013,Anwar Pharmacy,Inside Anwar Hospital Near City Distt Govt Buss Stop Terminal Bund Road Lahore,SAMNABAD TOWN,"31.534104396368573,74.28150515396412"
482A092013,Ranson Pharmacy,694-A-I Township Lahore,ALLAMA IQBAL TOWN,"31.45582846548704,74.31591605223188"
269A092013,Pharmacity Plus,"Shop No.3,212 Block-C Gulshan Ravi Lahore",SAMNABAD TOWN,"31.54856551928247,74.26587877656401"
275B102013,Bhatti Medical Store,Rasool Road Hameed Ali Park Near Jaia Masjid Ahle Hadis Icchra Lahore,SAMNABAD TOWN,"31.523268416225147,74.323852913234"
271B102013,Spectrum Labortories Pvt Ltd,Tariq Street Al-Mumtaz Road Samanabad Lahore,SAMNABAD TOWN,"31.53099987569709,74.30010862196049"
254A092012,Coral Pharma,2nd Floor Al-Hamra Building 13-A Main Faiz Road Old Muslim Town Lahore,SAMNABAD TOWN,"31.51563113342332,74.29518526361292"
257B102012,Ibrahim Medical Store,"Shop No.1,Main Bazaar Qadir Pura Khuda Bukhsh Road Bund Road LHR",SAMNABAD TOWN,"31.534952944773202,74.27941852306547"
265B102013,Yaseen Medical Store,Shah Kamal Road Near Islam Street Icchra Lahore,SAMNABAD TOWN,"31.526020801638804,74.30850941194241"
288A092013,Norwich Pharmaceuticals,40-G Khawaja Arcade 17-Wahdat Road Lahore,SAMNABAD TOWN,"31.519786164394187,74.32057526107883"
293A092013,Inmol Hospital Pet Radio Pharmacy Facility,Inside Inmol Hospital D-Block New Muslim Town New Campus Road Lahore,SAMNABAD TOWN,"31.51571945587931,74.29517085206416"
291A092013,Multi Line Distributors,14/1 Farooq Road Near Shama Icchra Lahore,SAMNABAD TOWN,"31.52325585338176,74.32380367146344"
292A092013,Inmol Hospital Plus Inmol Pharmacy Facility,Inside Inmol Hospital D-Block New Muslim Town New Campus Road Lahore,SAMNABAD TOWN,"31.515698861569096,74.29520977986569"
187BRT102013,Deleux Chemist,Shop No.18 Muslim Musjid Outside Lohari Gate Circular Road Lahore,RAVI TOWN,"31.576394348350895,74.31332040427337"
296A092013,Al-Shifa Medicose,"Shop No.3,H. No.17,Muslim Colony Bastami Road Samanabad Lahore",SAMNABAD TOWN,"31.53318737003275,74.2986326934963"
295A092013,Medi + Care Pharmacy,Chisti Chowk Near Ajmeri Masjid Babu Sabu Bund Road Lahore,SAMNABAD TOWN,"31.539218547065573,74.26780400895309"
290A092013,Medisun Pharmacy,15-F Main Gulshan Ravi Lahore,SAMNABAD TOWN,"31.549569245098844,74.28624804436073"
191ART92013,Muhammadia Madicose,E-3 Almeenar Medicine Makeet Outside Lohari Gate Lahore,RAVI TOWN,"31.5768169070394,74.31216951501493"
190ART92013,Meezan Pharmacy,Yasrib Colony Shadra Moor Near Dare Arqam School Shadra Lahore,RAVI TOWN,"31.615593,74.290577"
189ART92013,Mubasshar Pharmacy,Shop No. 5 Qadri Hotal Mahmood Road Main Bazar Jalal Park Shadra,RAVI TOWN,"31.625347,74.29954"
183ART92013,Basharat Pharmacy,Islam Park Begum Wali Masjid Shahdra Town Lahore,RAVI TOWN,"31.623917,74.301167"
195BRT102013,Malik Nazeer medical store,Tehsil Bazar inside Bhatti Gate,RAVI TOWN,"31.5843996,74.3104178"
196BRT102013,Al Saeed Medical Store,61-B Abubakar Prk Near Masoom Shah Darbar Badimi Bag Lahore,RAVI TOWN,"31.604375372914905,74.32544658454756"
297B102013,Karni Traders,"Flat No.104,2nd Floor 168-Multan Road Near Lyric Cinema Lahore",SAMNABAD TOWN,"31.533472115014288,74.29875057811711"
298A092013,Onco Link Pharma Distributors,216-A New Muslim Town Near Ayubia Market Lahore,SAMNABAD TOWN,"31.512193,74.319415"
24539,Ijaz Medical Store,113/15 Rahim Road Chowk Misri Shah Lahore,RAVI TOWN,"31.585334111470765,74.33029248189521"
2205074,Madina Medicose,Aziz Road Misri Shah Lahore,RAVI TOWN,"31.586254253566253,74.33391683710089"
174220039,Maroof Medical And General Store,25Aziz Road Misri Shah,RAVI TOWN,"31.586249085517874,74.33291178705181"
369AAIT92012,Al-Qadir Medical &amp; General Store,"5-II-D-I Umer Chowk, Town Ship, Lahore",NISHTAR TOWN,"31.444802337749305,74.30645204287981"
206BNT102013,Awan Medicose,"36-Nill D-II, Bagrian Chowk Green Town Lahore",NISHTAR TOWN,"31.432618736363807,74.30013566092208"
200BNT102013,Nadeem Medical Store,"Near LGH, Ferozepur Road, Lahore",NISHTAR TOWN,"31.453594663927607,74.35220104883481"
501AAIT92013,Masood Sons Pharmacy,"Hamza Tower College Road, Township, Lahore",NISHTAR TOWN,"31.446886312157677,74.29660958545179"
203BNT102013,Shafique &amp; Sons Medicose,"Shop No.1, Chowk Kacha Jail Road, Chungi Amer Sidhu, Lahore",NISHTAR TOWN,"31.449087146837424,74.35181468039762"
205ART92013,Azan Pharma Plus,Shop No.4 Jalal Shoping Centre Main G.T Road Shahdra,RAVI TOWN,"31.619117,74.290063"
262BAIT1011,Mian Abid Medical &amp; General Store,"Shop No.2, Plot No.159-3/C-1, Opp Christian Graveyard, Township, Lahore",NISHTAR TOWN,"31.44158056280221,74.30459473246253"
26BST0910,New Rana Medical And General Store,29-Aziz Road Misri Shah,RAVI TOWN,"31.58622815668207,74.33328378520234"
164R07,Ali Pharmacy,"482-4-C-II, Town Ship Lahore",NISHTAR TOWN,"31.43498690983056,74.29498672256469"
205BNT102013,Ibrar Brothers Medical &amp; General Store,"Pak Town, Near Cold Storage, Kamahan Road, Chungi Amer Sidhu Lahore",NISHTAR TOWN,"31.45390356162126,74.36762239745794"
202ART102013,Burhan Medical Store,Opp. M.C Boys High School Main Bazar Miraj Park Bagam Kot Shadra Lahore,RAVI TOWN,"31.610980380164058,74.26272464408765"
203BRT92013,Rana Ijaz Medcial Store,327 St.No 2 Ali Pur Sadad Colony Badmi Bagh Lahore.,RAVI TOWN,"31.60595082177845,74.30862914452086"
11752003911,Muzna Pharmacy,Shop No.5 Saman Arcade Firdous Market Gulberglll Lahore,GULBERG TOWN,"31.50255237297385,74.34902820196295"
298AGT092013,Askari Medical Store,Shop No.2 Shopping Complex Askari-V Gulberg lll Lahore,GULBERG TOWN,"31.49969426861002,74.33850124237658"
5620042021,Prince Enterprises,123-A Allama iqbal road near Junior Model School Ghari Shahu Lahore,GULBERG TOWN,"31.5538027,74.3581365"
6660391011,Spencer Pharmacy,155-A HBFC,GULBERG TOWN,"31.483215398022008,74.2984586416195"
8282003911,Tarrot Pharmaceuticals,48-A Aibak block New Garden Town Lahore,GULBERG TOWN,"31.4994569,74.318406"
