License No,Store Name,Store Address,Town Name,Location
191803,M/s Ijaz Medical Store,"Rana Market, Shop # 5, F-Block, Youhanabad, Nishtar Town, Lahore",NISHTAR TOWN,"31.41300061590011,74.36753527947972"
178BNT102013,M/S Imam Medical Store,"Kahna Kacha Railway Station, Mouza Nangar, P.O Kahna Nau, Lahore",NISHTAR TOWN,"31.397184525757307,74.30432774259357"
42BNT102010,M/s Imran Aslam Medical Store,"St. No.1 Bhadar Abad Kamahan Road, Chungi Amer Sidhu, Lahore",NISHTAR TOWN,"31.454422551472906,74.36932176929184"
174BNT102012,M/S Insaf Hafeez Medical Store,"Plot No.2, Block-II, Sector D-1, Township, Lahore",NISHTAR TOWN,"31.44468417711127,74.30614720552954"
66BNT102011,M/S Iqbal Medical Store,"Rasool Park Jail Road, Chungi Amer Sidhu, Lahore",NISHTAR TOWN,"31.455110480698124,74.34881720696714"
412606,M/s Iqra Medical and General Store,"Melad Chowk, Bhatta No.1, New Green Town, Lahore",NISHTAR TOWN,"31.426938399755358,74.30237910576754"
181ANT92013,M/s Ishaq Pharmacy,"Shop No.1, 15/A-3, Block-H, Valancia Town,lahore",NISHTAR TOWN,"31.402539812223836,74.25679607006015"
238804,M/s Jammu Medical Store,"Ayub Road, Madina Town, Behind General Hospital,Lahore",NISHTAR TOWN,"31.454258567410715,74.34959199466537"
358505,M/s Jawad Medical Store,"House No.241/4, D-II, Green Town, Lahore",NISHTAR TOWN,"31.43557373115084,74.310208863277"
160BNT102012,M/s Kashif Medical and Super Store,"Khasra No. 3113/1009, Mouza Chandray, Kacha Jail Road, Noor Bhatti Market, Ferozepur Road, Chungi Amer Sidhu, Lahore",NISHTAR TOWN,"31.448917594380905,74.35191288231503"
443006,M/s Kashmir Medical and General Store,"Shop No.2, Ali Arcade Main Bazar Qainchi Amer Sidhu Lahore",NISHTAR TOWN,"31.4670009,74.349233"
20602,M/s Khalid Medical Store,"Sitara Colony No.2, St. No 2, Chungi Amar Sidhu",NISHTAR TOWN,"31.450858585976437,74.35811659731748"
79BNT102011,M/s Khalid Medical Store,"Sua Asal, Ferozepur Road, Lahore",NISHTAR TOWN,"31.306989295031713,74.39674885167506"
101003,M/s Khan Azhar Medicose,Main Bazar Chungi Amar Sidhu (Shop No.11 Iqbal Market Main Bazar.makhdonabad),NISHTAR TOWN,"31.4486246205748,74.35226224530386"
289404,M/s Khan Medical and General Store,"Gajumata Soha Stop, 23-KM, near Kahna Nau Ferozepur Road, Lahore",NISHTAR TOWN,"31.383504082495953,74.36355379716944"
275804,M/s Khan Medical Store,"Shop No. 43, Main Bazar Green Town, Lahore",NISHTAR TOWN,"31.434319158171416,74.3064123911538"
413706,M/s Khurram Medical and General Store,"Ward No.1, Near M.C.B Kahna Nau, Ferozepur Road, Lahore",NISHTAR TOWN,"31.36236145445524,74.36809540128019"
106103,M/s Madina Medical Store,"Anjum Shopping Centre, Shop No. 1&2, Baghrian Chowk, Green Town, Lahore",NISHTAR TOWN,"31.43216440044943,74.29875552122296"
323105,M/s Javaid Medical Store,"Plot No.959 Block No.1, Sector D-II, Khawaja Hasan Basri Road, Quaid-e-Azam Town, Green Town, Lahore",NISHTAR TOWN,"31.433347902933146,74.30715790752441"
205804,M/s Khalid Medical Store,"H.No.403, Laker Stop, Bank Road, Green Town Lahore",NISHTAR TOWN,"31.43393416207187,74.31195342663584"
172203,M/s Madina Medical and General Store,"Village Nangash Kacha Railway Station, Nangash Chowk, Lahore",NISHTAR TOWN,"31.397628946596562,74.30437039523324"
159BNT102012,M/S Madina Medical Store,"Shop No.1, 47-A, Commercial Zone, Pak Arab Housing Scheme Ferozpeur Road, Lahore",NISHTAR TOWN,"31.431982497817412,74.35626182452468"
58602,M/s Madni Medical Store,"Village Heir, Lahore",NISHTAR TOWN,"31.4082834380513,74.48903809693515"
153803,M/s Malik Medical Store,"Haji Barkat, Market Khana Nau, Lahore",NISHTAR TOWN,"31.368946,74.366037"
220904,M/s Malik Medical Store,"Sitara Colony No.2 Chungi Amer Sidhu, Lahore",NISHTAR TOWN,"31.450989949092165,74.35902103952621"
437206,M/s Mashallah Medical Store,"Mian Chowk, Green Town, Lahore",NISHTAR TOWN,"31.4277041,74.2899097"
54ANT910,M/s Medicare Plus,"29-A Block Military Accounts, Housing Society, Main College Road, Lahore",NISHTAR TOWN,"31.432021,74.288523"
93BNT1011,M/S Mehar Medicose,"Quaid Millat Colony, Jail Road, Lahore",NISHTAR TOWN,"31.44928662548853,74.34978457979062"
468807,M/s Mehtab Medical and General Store,"Gajju Matta Ferozepur Road, Lahore",NISHTAR TOWN,"31.384359,74.363817"
127703,M/s Mohsin Medical Store,"Madina Town, Ayub Road, Back Side, L.G.H, Lahore",NISHTAR TOWN,"31.454424759730454,74.3500492685262"
